time,alpha
2025-09-27 01:21:19,20.8
2025-09-28 01:30:13,13.8
2025-09-28 16:02:20,25.5
2025-09-30 11:28:56,34.4
2025-10-01 16:29:31,22.8
2025-10-02 11:47:46,63.9
2025-10-02 13:24:18,50.6
2025-10-03 23:09:40,6.7
2025-10-04 05:36:14,41.6
2025-10-04 07:13:06,48.3
2025-10-04 12:03:55,45.9
2025-10-06 15:34:51,29.8
2025-10-06 23:35:33,6.5
2025-10-07 01:12:04,13.4
2025-10-07 02:48:39,24.4
2025-10-07 06:01:02,54.4
2025-10-07 07:38:22,44.9
2025-10-07 12:30:54,35.7
2025-10-07 14:07:42,26.8
2025-10-07 20:33:28,4.4
2025-10-07 23:44:21,7.0
